60,Paul George,14
45,Kobe Bryant,13
31,James Harden,7
15,Magic Johnson,6
76,Klay Thompson,3
89,Kevin Durrant,3
118,Larry Bird,2
107,Chauncey Billups,0
134,Kevin Garnett,0
155,Tim Hardaway,0
